time,mass
2015-10-23 13:23:38 ,"684	eg06	299.0749251842	5828700.0000000000"
2015-10-23 13:23:39 ,"666	eg06	300.0578022003	5828200.0000000000"
2015-10-23 13:23:40 ,"650	eg06	301.0409159660	5828300.0000000000"
2015-10-23 13:23:41 ,"651	eg06	302.0419430733	5828500.0000000000"
2015-10-23 13:23:42 ,"646	eg06	303.0368640423	5828500.0000000000"
2015-10-23 13:23:43 ,"649	eg06	304.0407860279	5828300.0000000000"
2015-10-23 13:23:44 ,"660	eg06	305.0517060757	5827900.0000000000"
2015-10-23 13:23:45 ,"647	eg06	306.0387949944	5827600.0000000000"
2015-10-23 13:23:46 ,"645	eg06	307.0367431641	5827500.0000000000"
2015-10-23 13:23:47 ,"645	eg06	308.0366890430	5827300.0000000000"
2015-10-23 13:23:48 ,"650	eg06	309.0416820049	5827100.0000000000"
2015-10-23 13:23:49 ,"645	eg06	310.0367090702	5827000.0000000000"
2015-10-23 13:23:50 ,"675	eg06	311.0667340755	5826900.0000000000"
2015-10-23 13:23:51 ,"657	eg06	312.0487341881	5826700.0000000000"
2015-10-23 13:23:52 ,"647	eg06	313.0387389660	5826600.0000000000"
2015-10-23 13:23:53 ,"645	eg06	314.0366580486	5829200.0000000000"
2015-10-23 13:23:54 ,"646	eg06	315.0376620293	5829600.0000000000"
2015-10-23 13:23:55 ,"672	eg06	316.0636570454	5829500.0000000000"
