time,mass
2016-06-15 13:28:42,"439	sn13	340.0403361320	2533540.0000000000"
2016-06-15 13:28:43,"440	sn13	341.0412621498	2533700.0000000000"
2016-06-15 13:28:44,"436	sn13	342.0372231007	2533360.0000000000"
2016-06-15 13:28:45,"439	sn13	343.0401389599	2533180.0000000000"
2016-06-15 13:28:46,"451	sn13	344.0520110130	2533450.0000000000"
2016-06-15 13:28:47,"438	sn13	345.0389139652	2532800.0000000000"
2016-06-15 13:28:48,"442	sn13	346.0428380966	2532550.0000000000"
2016-06-15 13:28:49,"437	sn13	347.0377769470	2533390.0000000000"
2016-06-15 13:28:50,"441	sn13	348.0416591167	2533770.0000000000"
2016-06-15 13:28:51,"437	sn13	349.0375370979	2533830.0000000000"
2016-06-15 13:28:52,"466	sn13	350.0664350986	2532930.0000000000"
2016-06-15 13:28:53,"449	sn13	351.0494129658	2532820.0000000000"
2016-06-15 13:28:54,"439	sn13	352.0393941402	2532570.0000000000"
2016-06-15 13:28:55,"443	sn13	353.0443429947	2532440.0000000000"
2016-06-15 13:28:56,"437	sn13	354.0381410122	2532590.0000000000"
2016-06-15 13:28:57,"463	sn13	355.0640261173	2532600.0000000000"
2016-06-15 13:28:58,"442	sn13	356.0429379940	2532810.0000000000"
2016-06-15 13:28:59,"440	sn13	357.0408630371	2532540.0000000000"
2016-06-15 13:29:00,"436	sn13	358.0368700027	2532230.0000000000"
2016-06-15 13:29:01,"439	sn13	359.0396881104	2532480.0000000000"
2016-06-15 13:29:02,"436	sn13	360.0366859436	2532080.0000000000"
2016-06-15 13:29:03,"474	sn13	361.0745160580	2532040.0000000000"
2016-06-15 13:29:04,"458	sn13	362.0585651398	2532660.0000000000"
2016-06-15 13:29:05,"440	sn13	363.0405211449	2532470.0000000000"
2016-06-15 13:29:06,"440	sn13	364.0412690639	2532370.0000000000"
2016-06-15 13:29:07,"436	sn13	365.0373499393	2533900.0000000000"
2016-06-15 13:29:08,"439	sn13	366.0403161049	2532990.0000000000"
2016-06-15 13:29:09,"454	sn13	367.0551941395	2532910.0000000000"
2016-06-15 13:29:10,"438	sn13	368.0391480923	2532650.0000000000"
2016-06-15 13:29:11,"442	sn13	369.0430901051	2532580.0000000000"
2016-06-15 13:29:12,"436	sn13	370.0370421410	2532870.0000000000"
2016-06-15 13:29:13,"441	sn13	371.0419909954	2533450.0000000000"
2016-06-15 13:29:14,"437	sn13	372.0379190445	2532320.0000000000"
2016-06-15 13:29:15,"466	sn13	373.0668380260	2532590.0000000000"
2016-06-15 13:29:16,"449	sn13	374.0497651100	2532450.0000000000"
2016-06-15 13:29:17,"439	sn13	375.0396521091	2532460.0000000000"
2016-06-15 13:29:18,"436	sn13	376.0365531445	2531960.0000000000"
